userId,2,6,16,22,25,31,47,48,95,104,112,145,150,161,163,168,172,186,196,208,223,225,231,235,236,256,265,266,288,292,317,349,357,367,368,377,432,434,435,440,442,454,466,480,485,494,515,529,552,553,555,585,587,589,590,592,593,596,597,608,628,653,733,736,762,778,783,785,832,899,902,903,904,910,913,920,923,924,1028,1060,1073,1088,1092,1094,1097,1101,1127,1136,1198,1199,1201,1203,1204,1208,1210,1213,1221,1222,1225,1228,1230,1233,1240,1246,1249,1250,1258,1265,1270,1275,1278,1282,1291,1293,1302,1304,1307,1339,1372,1374,1376,1380,1387,1391,1393,1394,1408,1466,1517,1544,1552,1580,1608,1625,1645,1653,1673,1674,1682,1690,1704,1722,1729,1732,1747,1748,1777,1784,1876,1917,1954,1961,1997,2000,2001,2003,2005,2011,2019,2028,2100,2194,2268,2273,2278,2294,2395,2406,2407,2455,2470,2502,2529,2572,2599,2617,2628,2683,2701,2716,2770,2797,2858,2916,2985,2997,3000,3101,3147,3160,3175,3253,3418,3471,3481,3527,3578,3717,3751,3753,3911,3994,3996,4011,4027,4085,4226,4246,4262,4306,4370,4720,4878,4896,4963,4979,4995,5010,5378,5418,5445,5459,5502,5618,5669,5679,5989,6365,6377,6378,6502,6539,6934,7153,7438,8360,8665,8784,8961,35836,40815,44191,46578,48516,48780,49272,56367,68157,72998,79132
156,5.0,4.0,4.0,4.0,4.0,,4.0,,4.0,2.0,3.0,,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,,4.0,1.0,,4.0,3.0,,5.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,,4.0,4.0,3.0,5.0,3.0,4.0,,,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,4.0,3.0,,,1.0,5.0,3.0,4.0,,5.0,4.5,5.0,,4.0,,5.0,,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0,,4.0,3.0,4.0,,3.0,,5.0,5.0,4.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,,5.0,5.0,3.0,4.0,4.0,,4.0,4.0,5.0,,5.0,,5.0,,,,3.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,,4.0,5.0,5.0,,,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,,5.0,4.0,4.0,,4.0,,5.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,,2.0,5.0,3.0,4.0,3.0,5.0,4.0,,5.0,4.0,4.0,3.0,,3.5,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,,4.0,5.0,4.0,4.0,4.0,5.0,,3.0,,4.0,5.0,3.0,5.0,4.0,5.0,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
741,3.0,3.5,4.0,2.5,4.5,5.0,5.0,2.0,0.5,0.5,0.5,,5.0,5.0,4.5,3.5,,,2.0,3.5,1.0,,0.5,4.5,,,,3.0,4.5,1.5,0.5,2.5,5.0,4.5,4.0,2.5,4.0,1.0,1.0,3.0,0.5,3.0,0.5,2.0,3.0,0.5,5.0,5.0,4.5,4.5,,0.5,4.0,3.5,3.0,5.0,5.0,3.0,2.5,5.0,,4.5,4.5,0.5,,5.0,4.0,,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,3.5,,4.0,1.0,4.5,5.0,1.0,4.0,2.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.5,4.5,5.0,5.0,1.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,2.5,4.5,4.0,5.0,5.0,5.0,3.0,4.5,5.0,5.0,,4.0,3.5,0.5,0.5,5.0,0.5,4.5,5.0,5.0,3.0,0.5,3.5,4.5,0.5,,4.5,5.0,4.5,4.5,5.0,4.5,4.5,4.0,5.0,5.0,5.0,5.0,1.0,5.0,,3.0,1.0,5.0,,4.5,4.5,,,0.5,,5.0,4.5,5.0,4.0,4.5,4.0,5.0,2.0,5.0,4.5,4.5,,,2.5,,,4.5,0.5,3.0,3.0,4.5,4.5,4.5,5.0,4.5,3.0,4.5,,4.5,5.0,5.0,5.0,0.5,4.5,2.0,,4.0,3.0,3.5,4.0,3.5,,4.0,4.5,5.0,4.5,4.5,4.5,3.0,4.5,5.0,,,,,4.5,,5.0,4.5,,3.0,3.5,4.5,4.0,4.5,4.5,,5.0,,4.0,,0.5,4.5,,5.0,3.5,5.0,3.5,,4.5,,,4.5,5.0,5.0,5.0,4.5,,,,
768,3.0,4.0,3.0,4.0,,,5.0,,3.0,,,3.0,3.0,3.0,4.5,0.5,4.0,,3.0,3.5,,3.0,3.0,,,3.0,,,4.0,,,3.0,,4.0,3.0,4.0,1.0,3.0,,4.0,4.0,3.5,3.0,3.0,4.0,3.0,,,3.5,4.0,3.0,,,4.0,,4.0,5.0,,3.0,4.0,,3.0,4.5,2.5,3.0,4.0,,,3.0,,,,3.5,3.0,4.0,,,4.0,,,,2.0,4.0,,3.0,4.0,3.5,4.0,4.5,4.0,5.0,,4.0,5.0,4.0,3.5,5.0,4.0,,,,5.0,4.5,3.0,4.0,4.5,4.5,4.0,4.0,5.0,,,4.0,,3.0,3.5,,4.0,4.0,5.0,4.0,3.0,3.5,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.5,4.0,3.0,3.5,4.0,3.0,,,3.0,4.0,4.0,4.0,4.0,3.5,,4.0,2.0,,3.0,2.5,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.5,4.0,3.5,,4.0,,3.0,4.0,4.0,4.0,,,4.5,3.5,3.0,3.0,4.0,,2.0,3.5,4.5,4.5,3.5,,,3.0,3.0,4.5,4.0,3.0,,,4.0,4.0,3.0,3.0,,,4.0,3.0,4.5,,4.0,4.0,,3.0,4.0,3.0,,4.0,3.5,4.0,,4.0,3.5,4.0,3.5,4.0,4.0,3.5,,4.0,3.5,3.5,3.5,,3.5,4.0,4.5,3.5,5.0,3.5,3.5,3.5,,,,3.5,4.0,,3.5,3.5,4.0,,3.0,3.0,4.0
775,2.0,3.5,4.0,3.0,4.0,2.0,4.5,2.5,1.0,4.0,3.5,,4.0,3.5,4.0,2.0,0.5,2.0,4.0,2.5,4.5,2.5,1.5,5.0,2.5,1.5,,1.0,4.0,3.0,3.5,3.5,4.0,3.0,4.5,3.5,1.5,3.0,2.0,4.0,3.0,4.0,3.5,4.5,3.5,,5.0,4.0,,1.0,4.0,3.5,2.5,4.5,4.0,4.0,5.0,5.0,2.0,5.0,1.5,2.5,3.0,2.5,1.0,5.0,3.5,4.5,2.5,4.0,4.5,5.0,4.0,5.0,5.0,3.5,5.0,5.0,4.5,,5.0,2.5,2.0,5.0,4.5,3.5,4.0,4.0,5.0,5.0,4.5,4.0,5.0,5.0,4.5,5.0,4.5,3.5,5.0,4.5,4.0,5.0,4.0,3.5,,4.0,3.0,3.5,5.0,3.5,4.5,5.0,5.0,4.5,3.5,5.0,2.5,4.0,4.5,5.0,4.5,3.0,5.0,4.0,4.0,4.5,2.0,4.0,4.0,4.0,3.5,4.0,3.5,3.5,3.0,3.5,4.5,3.0,5.0,3.5,3.0,3.5,5.0,4.0,4.0,3.5,4.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,4.5,4.0,5.0,4.5,5.0,4.0,2.5,4.0,3.5,4.0,4.5,,5.0,4.5,4.0,5.0,3.5,4.0,5.0,,4.5,3.5,2.0,4.5,1.0,4.0,3.0,3.5,3.5,4.5,4.0,5.0,4.0,2.0,3.0,5.0,4.5,3.0,3.0,5.0,2.0,4.5,2.5,1.0,4.5,2.0,4.0,3.0,5.0,,4.0,3.0,4.0,4.0,3.5,3.0,4.5,3.0,4.0,4.5,4.0,4.0,4.0,4.0,3.0,,4.0,3.0,3.5,4.5,3.5,4.0,4.0,3.0,5.0,,3.5,4.0,3.0,4.0,5.0,,,,5.0,,,,,,,,,,,
903,4.0,4.0,3.0,2.0,4.0,,4.0,1.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,2.0,5.0,4.0,1.0,4.0,3.0,1.0,5.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,5.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,,3.0,4.0,4.0,2.0,5.0,1.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,,4.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,,3.0,3.0,4.0,4.0,5.0,5.0,,2.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,2.0,3.5,4.0,3.0,3.5,3.0,5.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.5,2.0,2.5,3.0,3.0,2.5,4.0,2.5,3.0,3.5,,2.0,,3.0,3.5,3.0,2.5,3.0,4.0,2.5,2.5,3.5,,3.0,2.5,2.5,2.5,3.0,3.0,3.0,2.5,2.5,3.0,,2.5,3.0,4.0,1.5,2.5,3.5,3.0,3.0,3.5,3.5,3.0,4.0,3.5,1.5,3.0,2.5,2.0,4.0,,3.0,2.5,3.0,3.5,4.0,5.0,,3.5,3.5,4.0,4.5,3.0,,3.5,2.0,3.5,4.0,2.5,3.0,3.0,4.0,4.0,3.5,5.0,4.0,3.5,4.5,3.5,4.5,4.5,4.5,4.0,,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.0,3.5,,4.0,3.5,3.0,4.0,3.5,3.5,2.5,2.5,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.0,3.5,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.5,3.0,3.5,3.0,3.0,4.0,5.0,3.0,3.5,,3.5,3.0,2.5,4.0,3.5,4.0,3.5,3.5,3.5,3.5,3.0,4.5,3.5,2.0,3.5,3.0,3.0,3.5,3.0,4.0,3.5,3.0,3.5,2.5,3.5,3.5,,3.5,2.5,3.0,3.5,3.0,3.0,3.0,2.0,4.0,3.5,3.5,3.5,,3.0,3.0,4.0,3.5,3.0,3.5,4.0,3.5,4.0,3.5,3.0,3.5,2.5,,2.5,3.5,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.5,4.5,3.0,3.0,4.0,3.5,3.5,3.0,3.5,3.0,2.0,3.0,4.5,3.5,3.5,3.5,3.0,,3.0,3.5,3.5,2.0,4.0,4.0,3.0,3.0,,3.5,4.0,3.5,3.5,,3.5,3.0,3.5,,,,
1849,3.0,,,3.5,,3.0,4.0,3.0,3.0,2.5,,3.5,3.5,3.5,3.5,3.0,3.0,3.0,2.5,1.5,3.5,,3.0,3.5,4.0,3.0,,3.0,,3.0,3.5,3.5,3.5,2.5,3.0,3.0,3.0,3.0,2.5,4.0,3.5,3.0,3.0,3.5,3.0,,,,3.0,,,3.0,3.5,3.5,4.0,3.5,5.0,3.5,3.5,3.5,4.0,3.0,3.5,3.0,,,3.5,3.0,3.0,4.5,3.5,4.0,4.0,4.0,3.5,4.0,4.5,3.5,4.0,,3.5,4.0,3.5,,3.5,3.5,3.5,3.5,4.5,4.0,3.5,,4.0,,4.5,4.0,4.0,4.0,3.5,,3.5,,3.0,4.0,4.0,,4.0,4.0,4.0,3.0,3.5,4.0,4.0,,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,2.5,3.0,3.5,3.5,,3.0,3.0,3.0,3.5,4.0,3.5,,3.5,,3.5,3.5,3.0,3.5,4.0,,3.5,3.5,4.0,3.5,4.0,3.0,3.0,3.5,3.5,4.0,3.5,3.0,3.5,4.0,3.5,,3.5,3.5,3.5,3.5,3.5,4.0,3.0,3.0,3.5,3.5,,3.5,3.5,,3.5,3.0,4.0,3.0,3.0,2.5,4.0,3.5,4.0,4.0,3.5,,3.5,4.5,3.5,3.5,3.0,4.0,3.0,3.5,4.0,3.5,,3.5,3.0,4.0,3.0,4.0,3.5,4.5,3.5,4.0,,4.0,3.0,,4.0,3.5,3.5,4.0,3.5,3.5,3.5,3.5,,3.0,3.5,3.5,,4.0,4.0,3.5,3.5,3.5,3.5,4.5,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,,4.5,3.0,3.5,,4.0,,3.5,4.0,,,,
2261,3.5,3.5,3.0,3.5,3.0,2.5,4.0,,3.0,1.5,,,3.5,3.5,,2.5,4.0,,,3.5,1.5,2.5,0.5,3.0,,1.0,,2.0,2.5,2.5,2.5,3.5,4.0,3.0,3.0,3.0,3.0,3.5,,3.0,3.0,2.5,2.5,5.0,3.5,3.5,3.0,3.5,3.5,3.0,3.5,,3.0,4.5,2.0,4.0,4.0,3.5,3.0,4.0,4.0,,3.5,3.5,1.5,,,1.5,2.5,4.0,3.5,3.5,2.0,4.0,4.0,3.5,3.5,5.0,4.0,2.0,3.0,3.5,3.5,4.0,3.5,3.5,4.5,3.5,4.5,2.5,2.0,4.0,2.0,3.5,3.5,2.5,3.0,,4.0,3.0,3.5,2.5,4.0,2.5,2.0,4.0,,3.0,4.0,,4.0,5.0,5.0,3.0,2.5,4.0,2.0,3.0,1.5,2.0,4.0,4.0,4.0,2.5,2.5,3.0,3.0,1.5,2.0,3.5,3.0,3.5,3.5,3.0,3.0,3.5,3.5,4.0,3.5,,3.0,3.0,4.5,2.5,2.5,3.0,2.0,2.5,,,3.0,3.0,3.5,2.5,2.0,,2.5,3.0,,3.0,3.0,4.0,2.5,,4.0,,2.5,4.0,3.5,3.5,3.0,3.0,2.5,,,2.0,2.0,1.0,2.0,3.5,3.0,2.5,3.5,4.0,3.5,3.0,,3.0,3.5,3.0,3.5,1.5,3.5,3.5,2.5,4.0,2.5,2.0,3.5,2.0,3.0,3.0,4.0,3.0,3.0,3.5,3.0,2.5,3.0,4.5,4.0,3.5,0.5,3.5,3.0,2.5,3.0,,1.5,3.0,3.5,,3.0,,2.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,,3.0,4.0,3.0,1.0,1.5,2.5,0.5,,,2.5,2.5,2.5,2.5,3.0,,,
2397,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,,1.0,3.0,4.0,3.0,,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,3.0,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,1.0,1.0,,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0
